"id","total_customers","without_power","percentage_out","out"
"Alexandria",795,14,2,"1 - 25"
"Allenstown",1777,1277,72,"1,001 - 5,000"
"Alstead",42,1,2,"1 - 25"
"Alton",233,118,51,"101 - 500"
"Amherst",5421,2303,42,"1,001 - 5,000"
"Andover",48,12,25,"1 - 25"
"Antrim",1542,273,18,"101 - 500"
"Atkinson",132,2,2,"1 - 25"
"Auburn",2331,1774,76,"1,001 - 5,000"
"Barnstead",1530,688,45,"501 - 1,000"
"Barrington",4297,3720,87,"1,001 - 5,000"
"Bedford",9201,5494,60,"5,001- 10,000"
"Belmont",4125,1806,44,"1,001 - 5,000"
"Bennington",827,174,21,"101 - 500"
"Boscawen",18,18,100,"1 - 25"
"Brentwood",1662,1092,66,"1,001 - 5,000"
"Bristol",2785,433,16,"101 - 500"
"Brookfield",677,155,23,"101 - 500"
"Brookline",2043,1591,78,"1,001 - 5,000"
"Campton",1115,106,10,"101 - 500"
"Candia",1573,1073,68,"1,001 - 5,000"
"Canterbury",522,477,91,"101 - 500"
"Chester",1009,104,10,"101 - 500"
"Chesterfield",2085,1908,92,"1,001 - 5,000"
"Chichester",233,48,21,"26 - 100"
"Concord",51,46,90,"26 - 100"
"Cornish",510,2,0.39,"1 - 25"
"Danbury",669,4,0.6,"1 - 25"
"Danville",225,70,31,"26 - 100"
"Deerfield",1408,1257,89,"1,001 - 5,000"
"Deering",1073,92,9,"26 - 100"
"Derry",14088,4353,31,"1,001 - 5,000"
"Dover",16157,6159,38,"5,001- 10,000"
"Dublin",960,51,5,"26 - 100"
"Dunbarton",1100,642,58,"501 - 1,000"
"Durham",3542,1441,41,"1,001 - 5,000"
"Effingham",1270,123,10,"101 - 500"
"Epping",3112,1957,63,"1,001 - 5,000"
"Epsom",603,479,79,"101 - 500"
"Farmington",3077,1984,64,"1,001 - 5,000"
"Fitzwilliam",1517,233,15,"101 - 500"
"Francestown",925,411,44,"101 - 500"
"Franklin",4299,607,14,"501 - 1,000"
"Freedom",2312,222,10,"101 - 500"
"Fremont",1689,1278,76,"1,001 - 5,000"
"Gilford",5621,3656,65,"1,001 - 5,000"
"Gilmanton",496,107,22,"101 - 500"
"Goffstown",7325,4634,63,"1,001 - 5,000"
"Goshen",262,11,4,"1 - 25"
"Greenfield",846,137,16,"101 - 500"
"Greenville",1008,559,55,"501 - 1,000"
"Hampstead",4383,768,18,"501 - 1,000"
"Hancock",1026,174,17,"101 - 500"
"Harrisville",778,8,1,"1 - 25"
"Henniker",2422,743,31,"501 - 1,000"
"Hill",11,7,64,"1 - 25"
"Hillsborough",3319,340,10,"101 - 500"
"Hinsdale",2048,1613,79,"1,001 - 5,000"
"Hollis",3446,2222,64,"1,001 - 5,000"
"Hooksett",6817,3641,53,"1,001 - 5,000"
"Hopkinton",2905,2562,88,"1,001 - 5,000"
"Hudson",11026,3940,36,"1,001 - 5,000"
"Jaffrey",3020,278,9,"101 - 500"
"Keene",11135,1471,13,"1,001 - 5,000"
"Laconia",11626,3425,29,"1,001 - 5,000"
"Lee",1410,848,60,"501 - 1,000"
"Litchfield",3376,1707,51,"1,001 - 5,000"
"Londonderry",10570,3033,29,"1,001 - 5,000"
"Loudon",2422,1942,80,"1,001 - 5,000"
"Lyndeborough",817,517,63,"501 - 1,000"
"Madbury",809,357,44,"101 - 500"
"Manchester",56713,15808,28,"10,001 - 20,000"
"Marlborough",1218,237,19,"101 - 500"
"Marlow",178,1,0.56,"1 - 25"
"Mason",667,661,99,"501 - 1,000"
"Meredith",45,5,11,"1 - 25"
"Merrimack",11359,6172,54,"5,001- 10,000"
"Middleton",950,44,5,"26 - 100"
"Milford",7376,3436,47,"1,001 - 5,000"
"Milton",2503,1051,42,"1,001 - 5,000"
"Mont Vernon",1015,375,37,"101 - 500"
"Nashua",41526,12017,29,"10,001 - 20,000"
"New Boston",2626,1505,57,"1,001 - 5,000"
"New Durham",588,544,93,"501 - 1,000"
"New Hampton",545,39,7,"26 - 100"
"New Ipswich",2251,53,2,"26 - 100"
"New London",2776,4,0.14,"1 - 25"
"Newfields",746,720,97,"501 - 1,000"
"Newmarket",4774,2960,62,"1,001 - 5,000"
"Newport",3448,1,0.03,"1 - 25"
"Northfield",1386,937,68,"501 - 1,000"
"Northwood",2293,1873,82,"1,001 - 5,000"
"Nottingham",1313,1049,80,"1,001 - 5,000"
